reference_timestamp,Id,fkl010h0_ANT,fkl010h0_BAS,fkl010h0_DAV,fkl010h0_DOL,fkl010h0_GVE,fkl010h0_INT,fkl010h0_LUG,fkl010h0_SIO,fkl010h0_STG,fkl010h0_ZER,fkl010h3_ANT,fkl010h3_BAS,fkl010h3_DAV,fkl010h3_DOL,fkl010h3_GVE,fkl010h3_INT,fkl010h3_LUG,fkl010h3_SIO,fkl010h3_STG,fkl010h3_ZER,gre000h0_ANT,gre000h0_BAS,gre000h0_DAV,gre000h0_DOL,gre000h0_GVE,gre000h0_INT,gre000h0_LUG,gre000h0_SIO,gre000h0_STG,gre000h0_ZER,prestah0_ANT,prestah0_BAS,prestah0_DAV,prestah0_DOL,prestah0_GVE,prestah0_INT,prestah0_LUG,prestah0_SIO,prestah0_STG,prestah0_ZER,rre150h0_ANT,rre150h0_BAS,rre150h0_DAV,rre150h0_DOL,rre150h0_GVE,rre150h0_INT,rre150h0_LUG,rre150h0_SIO,rre150h0_STG,rre150h0_ZER,tre200h0_ANT,tre200h0_BAS,tre200h0_DAV,tre200h0_DOL,tre200h0_GVE,tre200h0_INT,tre200h0_LUG,tre200h0_SIO,tre200h0_STG,tre200h0_ZER,ure200h0_ANT,ure200h0_BAS,ure200h0_DAV,ure200h0_DOL,ure200h0_GVE,ure200h0_INT,ure200h0_LUG,ure200h0_SIO,ure200h0_STG,ure200h0_ZER,tre200h0_lag,tre200h0,target_tre200h0_plus12h,target_tre200h0_plus24h,target_tre200h0_plus48h
2013-06-12 02:00:00,3774,6.3,4.9,6.1,8.0,1.2,1.1,1.6,0.4,5.6,1.9,19.6,12.5,9.3,10.2,3.4,3.5,4.2,2.3,12.7,9.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,856.5,985.4,839.1,835.6,978.5,955.9,978.8,968.7,929.5,836.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2,5.5,-0.6,-4.5,-2.8,1.5,2.8,-0.9,2.2,-4.8,78.8,78.4,51.4,100.0,92.3,83.7,73.1,92.4,75.1,78.0,8.6,2.5,3.9,12.8,12.6
2013-06-12 07:00:00,3775,5.3,2.7,6.7,7.3,0.7,1.4,0.5,0.8,7.5,1.9,11.9,5.7,11.3,10.4,2.2,7.3,3.0,3.1,19.4,8.8,3.0,6.0,4.0,2.0,6.0,7.0,11.0,5.0,6.0,10.0,856.9,986.8,839.2,835.8,978.4,955.6,977.4,968.4,930.8,836.5,0.1,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.4,0.0,-1.0,3.1,-2.2,-4.5,0.6,6.0,3.6,1.5,0.4,-4.4,85.8,90.6,86.1,98.8,90.2,64.6,69.0,85.6,91.6,83.7,8.6,3.0,-1.1,18.7,13.2
2013-06-12 12:00:00,3776,5.3,4.6,6.1,5.7,1.4,4.1,6.2,5.4,5.1,4.4,14.5,10.6,11.9,8.3,3.1,8.2,13.8,11.9,12.7,8.4,222.0,177.0,167.0,155.0,261.0,128.0,353.0,288.0,64.0,376.0,858.1,987.9,840.4,835.9,977.8,956.5,976.6,967.1,931.7,835.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-2.4,5.0,-3.1,-3.9,5.8,5.8,16.5,6.5,1.1,0.5,89.3,68.3,80.2,98.7,68.7,59.0,19.3,68.5,77.2,64.4,14.0,5.0,13.4,25.6,16.8
2013-07-12 13:00:00,3864,0.7,0.4,1.5,9.0,5.1,2.1,3.2,2.9,1.1,0.9,2.1,1.3,3.1,11.4,8.5,3.5,7.6,4.2,3.5,1.9,298.0,253.0,137.0,323.0,122.0,257.0,280.0,285.0,142.0,294.0,863.0,990.8,845.6,837.0,979.4,960.2,985.5,970.5,936.3,839.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.1,5.9,-2.6,-1.0,5.5,1.7,16.0,3.5,2.6,-2.1,73.3,53.6,60.1,56.6,52.4,66.1,20.3,58.3,49.8,57.3,16.5,5.1,11.7,24.9,26.0
2013-07-12 22:00:00,3866,1.0,1.2,0.3,4.0,0.9,1.0,1.0,0.7,1.4,1.3,3.3,2.4,1.0,6.4,1.8,3.0,2.9,1.7,2.6,2.4,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,863.3,990.9,845.9,837.6,979.3,959.7,989.9,971.9,935.9,841.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.6,-0.4,-8.6,0.9,-2.9,-2.7,5.6,-3.0,0.4,-5.2,69.5,84.4,80.3,43.5,85.9,78.1,62.3,86.5,56.8,49.7,7.9,-3.5,22.2,14.5,15.7
2013-08-12 03:00:00,3957,1.0,2.0,0.4,3.4,0.5,1.0,1.5,1.0,1.4,1.4,3.8,3.6,1.2,4.7,1.2,2.5,3.7,2.8,1.9,2.4,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,863.1,991.1,845.5,837.8,980.0,960.0,990.2,972.2,936.1,841.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.8,-1.8,-9.0,2.2,-4.8,-3.6,2.7,-4.7,-1.0,-6.3,66.3,88.7,79.0,14.1,89.5,81.3,61.8,89.5,69.0,54.6,6.3,-4.9,2.0,16.0,12.8
2013-11-12 11:00:00,4233,0.5,2.0,0.1,3.8,0.9,0.5,0.7,0.3,0.3,1.3,1.2,4.0,0.6,7.5,2.4,1.4,1.8,1.3,1.1,1.9,341.0,318.0,376.0,403.0,113.0,345.0,352.0,369.0,338.0,399.0,870.5,995.6,852.8,844.6,985.7,964.8,998.8,977.0,941.7,848.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.6,4.3,3.1,9.2,-1.8,4.1,6.9,3.2,1.0,3.2,74.5,64.3,48.3,16.6,93.2,69.9,67.3,65.9,74.3,43.9,6.1,0.9,-4.4,4.6,4.4
2013-11-12 13:00:00,4234,0.6,2.0,1.3,5.5,1.1,1.0,0.5,0.7,0.2,1.7,1.3,3.6,4.6,8.3,2.1,2.2,1.4,2.8,0.8,3.3,294.0,241.0,273.0,331.0,74.0,261.0,262.0,290.0,256.0,294.0,869.3,994.3,852.0,843.7,984.3,963.6,997.3,975.1,940.7,847.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7,6.1,4.6,8.8,-1.3,3.1,8.4,7.4,3.4,6.3,65.0,57.0,31.2,18.0,94.4,65.4,64.1,43.9,61.4,29.6,6.6,2.9,0.5,5.7,4.9
2013-11-12 15:00:00,4235,0.8,2.2,0.9,5.5,0.6,1.4,0.8,0.5,0.5,1.2,1.9,4.3,1.9,8.0,1.6,2.4,1.5,1.2,1.1,2.0,14.0,23.0,14.0,76.0,16.0,13.0,35.0,15.0,11.0,12.0,869.2,994.0,852.0,843.5,983.9,963.4,997.0,974.8,940.4,847.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5,3.9,2.0,7.1,-1.4,0.4,8.0,2.9,4.1,1.7,66.1,67.5,36.5,20.2,95.5,73.7,69.5,63.0,50.8,43.4,5.6,0.7,0.6,3.9,5.2
2013-11-19 10:00:00,4254,0.8,2.5,0.8,8.3,1.4,0.4,0.7,2.2,1.0,0.5,1.9,5.3,7.3,12.1,3.2,1.7,2.3,4.0,2.5,1.1,87.0,35.0,375.0,170.0,55.0,66.0,24.0,74.0,127.0,40.0,843.8,968.9,826.9,819.5,956.9,937.4,969.6,947.8,914.3,822.9,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,2.5,4.2,3.9,6.7,0.1,6.3,5.1,9.4,6.6,2.5,0.4,80.8,94.9,59.3,100.0,87.1,92.0,95.8,88.7,98.4,96.8,3.5,3.3,2.9,2.9,0.8
2013-11-19 20:00:00,4255,4.5,0.8,1.8,8.6,1.2,6.3,0.8,3.2,2.7,1.0,8.4,1.9,3.7,11.0,3.4,11.1,1.9,7.0,5.0,2.9,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,842.1,969.2,824.8,818.4,957.8,936.5,966.6,946.6,914.2,820.5,0.0,0.6,0.1,0.3,0.9,0.1,0.7,0.0,0.2,0.1,-0.4,1.8,0.7,-4.9,4.6,4.9,9.1,6.4,2.3,0.3,97.1,93.6,96.2,99.5,92.8,89.5,95.7,83.3,95.6,99.8,2.9,3.3,2.3,2.5,0.3
2013-11-19 22:00:00,4256,4.1,1.0,5.8,8.6,2.9,3.9,1.0,3.7,2.3,1.1,8.0,2.1,7.3,10.6,4.5,10.1,2.8,8.2,4.4,2.7,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,842.3,969.2,824.6,818.4,958.2,937.2,966.2,946.8,914.6,820.1,0.2,0.2,0.0,1.0,0.3,0.3,1.2,0.0,0.8,0.4,-0.7,1.9,-1.3,-5.3,3.4,3.8,8.7,5.4,1.2,-0.4,92.3,92.3,99.8,97.8,90.3,89.1,98.1,80.7,95.9,99.4,2.6,2.9,2.9,2.0,-0.4
2013-11-20 05:00:00,4257,1.4,0.9,3.6,7.2,1.2,2.7,0.5,1.2,1.6,2.1,3.4,1.6,4.9,11.7,2.5,6.2,1.2,3.9,3.2,3.4,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,842.4,969.3,824.9,817.7,957.7,937.7,965.8,947.8,914.8,820.4,0.2,0.4,0.3,0.3,0.4,0.0,0.0,0.0,0.1,0.0,-2.5,2.2,-2.4,-5.6,0.9,3.1,8.5,4.0,0.4,-2.7,93.1,92.4,94.5,94.6,93.5,84.6,96.8,79.4,94.9,96.7,2.1,1.9,3.1,0.9,0.0
2013-11-20 16:00:00,4259,1.9,1.9,4.5,9.5,2.4,3.7,0.3,2.9,1.1,1.9,4.6,3.5,6.6,13.3,5.4,6.4,1.6,6.7,2.4,3.1,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,842.1,968.2,824.5,818.2,958.1,937.2,965.8,947.8,914.2,820.3,0.1,0.2,0.0,0.2,0.0,0.0,1.3,0.0,0.0,0.1,-2.6,3.5,-2.9,-5.8,2.5,3.9,9.1,4.7,1.3,-3.1,91.2,91.7,98.1,98.4,87.8,78.9,96.5,77.6,91.9,97.6,5.1,3.2,0.9,1.2,1.1
2013-11-22 05:00:00,4263,1.3,1.3,1.1,6.7,0.7,0.0,0.7,0.4,1.1,0.7,2.6,3.3,2.7,10.2,1.1,0.0,1.8,1.1,2.6,1.9,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,837.2,963.3,820.0,812.3,952.3,932.4,963.3,943.9,908.8,815.6,0.0,0.2,0.0,0.3,0.6,0.0,1.7,0.0,0.0,0.0,-9.9,0.3,-9.0,-7.3,0.4,-0.2,3.1,0.3,-0.6,-8.0,89.8,95.3,84.7,94.0,95.0,93.6,95.0,94.1,92.4,81.8,0.9,0.0,1.1,1.6,3.5
2013-11-22 20:00:00,4265,1.5,1.6,0.7,11.7,1.6,4.1,0.9,1.2,0.8,0.9,3.5,2.5,1.3,15.7,4.1,5.9,2.5,2.8,2.4,2.2,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,844.5,970.9,827.2,817.4,957.8,939.4,968.7,950.2,916.7,821.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.3,1.8,-9.3,-6.4,1.6,0.1,3.0,0.6,0.5,-7.9,78.7,96.3,86.3,100.0,84.2,79.1,86.4,80.9,94.8,65.1,0.3,1.0,1.9,3.2,3.0
2013-11-23 02:00:00,4266,1.0,0.9,1.2,16.4,4.6,3.3,1.4,0.5,0.7,1.2,2.5,2.7,2.2,22.0,9.4,5.3,3.3,1.5,1.3,1.9,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,844.8,971.8,827.5,817.3,958.2,940.3,966.0,950.7,917.6,821.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.8,2.7,-9.0,-6.1,3.4,-0.1,3.0,-2.1,0.6,-7.1,68.1,91.3,83.6,99.5,75.8,75.9,81.0,89.4,98.6,81.5,-0.4,1.1,2.4,3.5,1.4
2013-11-23 10:00:00,4267,1.0,2.4,3.3,10.6,9.0,0.0,0.9,1.5,0.7,1.5,2.0,7.7,5.1,18.2,17.2,0.6,3.2,3.1,1.7,3.7,144.0,29.0,276.0,165.0,191.0,55.0,91.0,249.0,33.0,121.0,845.6,973.3,827.8,819.8,958.8,941.5,965.3,951.9,918.7,822.5,0.3,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.5,0.0,-6.8,3.6,-4.1,-3.8,5.4,0.6,6.0,1.1,0.4,-5.5,87.5,93.6,84.5,98.2,72.7,92.1,72.1,72.6,97.4,82.0,0.7,1.8,3.4,4.0,1.0
2013-11-24 17:00:00,4269,8.1,2.8,3.7,12.6,8.8,0.7,6.5,1.9,3.2,0.4,14.0,7.1,6.2,17.9,14.4,1.5,19.1,3.1,6.7,1.4,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,853.0,982.4,835.7,827.7,967.6,950.0,973.3,959.9,927.8,830.6,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.3,0.0,-2.0,4.6,-2.7,-3.3,6.7,2.8,12.7,1.4,0.7,-3.1,99.0,78.1,93.1,98.6,68.1,95.9,31.8,83.5,98.0,90.0,2.7,3.6,0.4,-1.6,-0.8
2013-11-24 19:00:00,4271,7.9,1.6,3.7,12.9,9.5,0.7,7.0,2.0,3.3,0.4,13.5,5.0,6.5,18.7,16.6,1.5,14.8,3.4,7.1,1.6,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,853.9,983.8,836.5,828.7,969.2,951.2,974.6,961.2,929.0,831.7,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.5,0.0,-2.1,3.8,-3.0,-3.5,6.3,2.8,12.2,1.1,0.7,-3.3,96.8,81.5,93.0,96.9,70.1,96.1,32.5,85.9,96.2,93.1,3.1,3.3,0.2,-2.0,-1.6
2013-11-25 07:00:00,4272,7.4,1.4,5.0,12.6,8.0,2.8,6.3,0.9,1.9,1.5,11.9,2.9,9.9,19.3,16.1,7.2,15.9,2.7,4.4,3.3,4.0,13.0,18.0,41.0,25.0,14.0,15.0,7.0,21.0,16.0,857.3,989.7,839.8,831.0,974.1,955.2,979.0,964.5,934.3,834.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.8,-0.5,-6.5,-7.0,3.3,2.2,9.6,1.2,-3.6,-6.8,84.0,83.7,75.6,96.9,60.7,76.1,22.6,83.8,85.0,70.0,3.6,0.2,-2.0,-2.8,-4.0
2013-11-25 16:00:00,4273,7.0,1.6,2.5,11.6,9.2,1.8,5.6,5.0,2.7,1.1,13.0,3.3,3.9,17.6,15.3,4.8,13.2,8.5,5.3,1.8,0.0,0.0,0.0,2.0,1.0,4.0,0.0,1.0,0.0,4.0,859.2,990.9,841.7,833.2,976.5,958.0,982.7,965.3,935.5,835.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.1,0.7,-9.7,-7.6,2.5,1.4,8.0,3.5,-5.1,-7.0,81.8,64.2,70.1,49.5,56.5,64.6,13.4,56.6,78.4,57.1,3.8,-0.9,-2.2,-0.9,-1.5
2013-11-26 05:00:00,4275,7.0,0.9,3.7,12.6,6.4,1.9,6.8,0.9,0.8,0.9,12.9,2.3,5.9,19.7,11.0,2.7,14.2,2.1,2.5,1.7,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,859.8,992.2,842.1,833.1,977.4,959.1,983.6,969.4,936.4,836.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,-8.1,-0.3,-10.4,-8.9,1.1,-3.3,6.0,-4.4,-4.6,-11.6,87.8,91.2,83.5,94.2,68.0,80.3,22.0,83.4,93.9,39.3,0.4,-2.4,-0.8,-4.5,-5.9
2013-11-26 21:00:00,4277,3.1,0.8,2.4,19.3,8.4,3.5,7.1,0.3,0.8,1.0,5.8,1.4,9.5,24.8,18.0,5.6,13.7,0.5,1.9,1.8,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,861.8,994.2,843.4,833.0,979.2,961.1,988.1,970.8,938.2,837.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.1,-2.6,-9.9,-10.5,0.3,-3.0,5.1,-3.6,-4.0,-11.9,76.8,90.7,63.6,74.3,55.1,69.0,21.3,78.4,88.0,44.5,-1.9,-3.3,-2.5,-4.4,-0.9
2013-11-27 09:00:00,4278,1.8,1.3,1.5,20.8,6.9,4.4,0.7,2.4,1.9,1.3,4.0,2.5,2.7,28.0,11.0,6.4,2.3,4.5,4.2,2.6,51.0,193.0,305.0,303.0,211.0,233.0,298.0,80.0,274.0,115.0,861.9,994.0,844.8,831.5,979.6,960.4,991.7,971.6,937.8,838.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.2,-4.2,-12.3,-10.2,-0.1,-2.6,3.7,-3.6,-6.2,-11.2,43.4,92.1,58.7,75.4,59.9,56.8,28.8,74.3,79.2,39.6,-1.1,-2.5,-4.4,-3.6,-0.7
2013-11-27 23:00:00,4280,0.6,1.1,0.6,4.5,1.0,1.3,1.3,0.8,0.5,1.0,2.1,2.2,1.3,7.3,3.2,3.6,2.8,1.7,1.7,1.8,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,863.0,995.2,845.6,837.0,982.3,962.2,992.8,973.9,938.5,840.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.0,-3.8,-11.3,-4.9,-3.8,-5.9,0.6,-4.7,-5.7,-8.2,64.9,85.83043478260869,74.2,28.2,72.4,79.3,52.5,80.0,92.7,68.9,-4.1,-5.5,-1.6,-1.5,1.2
2013-11-28 08:00:00,4281,0.8,0.9,0.4,20.9,1.8,0.2,1.1,0.4,0.4,1.3,2.6,2.1,1.5,24.0,3.7,1.1,2.4,1.2,1.2,3.6,19.0,44.0,109.0,128.0,46.0,33.0,103.0,29.0,73.0,29.0,863.5,994.7,846.0,835.0,981.7,961.7,994.5,973.8,938.6,840.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.2,-2.4,-9.7,-6.4,-1.3,-5.0,0.2,-5.9,-5.5,-7.3,66.7,81.8,83.4,38.5,73.0,80.6,56.0,87.7,91.3,63.7,-3.1,-5.5,-1.1,-1.2,0.7
2013-11-28 17:00:00,4282,1.4,0.7,0.8,16.8,1.3,1.1,1.1,0.3,0.7,1.0,2.8,1.4,1.7,21.5,3.5,2.4,2.4,1.1,1.7,2.9,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,863.1,993.0,845.7,835.7,980.0,960.3,992.2,971.8,937.5,839.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6,0.2,-3.2,-5.1,1.4,-0.2,5.0,-0.8,-3.5,-3.2,77.1,75.5,74.7,62.6,59.5,73.8,46.6,73.1,87.5,78.7,-2.3,-1.1,-1.9,1.4,0.1
