"fkl010h0_ANT","fkl010h0_BAS","fkl010h0_DAV","fkl010h0_DOL","fkl010h0_GVE","fkl010h0_INT","fkl010h0_LUG","fkl010h0_SIO","fkl010h0_STG","fkl010h0_ZER","fkl010h3_ANT","fkl010h3_BAS","fkl010h3_DAV","fkl010h3_DOL","fkl010h3_GVE","fkl010h3_INT","fkl010h3_LUG","fkl010h3_SIO","fkl010h3_STG","fkl010h3_ZER","gre000h0_ANT","gre000h0_BAS","gre000h0_DAV","gre000h0_DOL","gre000h0_GVE","gre000h0_INT","gre000h0_LUG","gre000h0_SIO","gre000h0_STG","gre000h0_ZER","pp0qffh0_BAS","pp0qffh0_GVE","pp0qffh0_INT","pp0qffh0_LUG","pp0qffh0_SIO","prestah0_ANT","prestah0_BAS","prestah0_DAV","prestah0_DOL","prestah0_GVE","prestah0_INT","prestah0_LUG","prestah0_SIO","prestah0_STG","prestah0_ZER","rre150h0_ANT","rre150h0_BAS","rre150h0_DAV","rre150h0_DOL","rre150h0_GVE","rre150h0_INT","rre150h0_LUG","rre150h0_SIO","rre150h0_STG","rre150h0_ZER","sre000h0_ANT","sre000h0_BAS","sre000h0_DAV","sre000h0_DOL","sre000h0_GVE","sre000h0_INT","sre000h0_LUG","sre000h0_SIO","sre000h0_STG","sre000h0_ZER","tre200h0_ANT","tre200h0_BAS","tre200h0_DAV","tre200h0_DOL","tre200h0_GVE","tre200h0_INT","tre200h0_LUG","tre200h0_SIO","tre200h0_STG","tre200h0_ZER","ure200h0_ANT","ure200h0_BAS","ure200h0_DAV","ure200h0_DOL","ure200h0_GVE","ure200h0_INT","ure200h0_LUG","ure200h0_SIO","ure200h0_STG","ure200h0_ZER","tre200h0","tre200h0_lag24h","target_tre200h0_plus12h","target_tre200h0_plus24h","target_tre200h0_plus48h","hour","season"
4.3,1.4,4.3,5.5,1.3,1.5,0.8,1.2,2.7,0.9,10.3,3.2,8.5,6.9,2.9,4.9,1.6,2.4,5.4,1.7,0,0,0,0,0,3,0,0,0,2,1023.7,1022.7,1023,1018.1,1022.1,865.3,986.7,848.5,842.1,975.1,956.7,983.5,966.6,935.2,844.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3,19,13.9,11.7,19.4,19,21.9,19.4,18.5,11.7,73.4,73.4,63.7,84.3,68.9,69.6,52.8,59,67.3,62.5,18.3,15.3,23,16.6,15,23,"Summer"
3.2,1,1,8.8,5.2,1.4,0.4,1.4,5.5,1.2,7.1,3.1,2,12.7,7.8,4,1.3,4,9,4,0,0,0,0,0,2,0,0,0,2,1009.1,1009.9,1011.2,1014.1,1010.6,859.2,973.1,842.6,833.7,963.7,945.6,980,956.6,923.1,838.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1,22.7,12.9,17.3,24.2,18.6,24.9,24.1,26,14.3,62.8,68.5,62.2,54.8,47.2,88.9,61.1,49.8,36.2,75.3,23,20.4,29.2,20.3,19.7,0,"Summer"
3.6,2.3,2.8,2.8,2.5,2.2,2.5,3,1.8,3.1,6.8,6.3,4.8,6.2,4.6,4.2,5.1,6.7,3.7,5.5,619,562,594,648,593,590,562,599,567,472,1014.8,1014.6,1014.5,1014.6,1012,853.6,977.7,837.2,829.1,966.3,947.4,979.4,956.7,926,831.7,0,0,0,0,0,0,0,0,0,0,60,60,60,60,60,60,60,60,60,42,5.5,15.5,4.3,2.7,13.8,12.7,15.6,17.4,7.8,7.5,45.7,29.4,54.7,65.7,35.7,39.2,43.4,17.1,51.8,30.5,12.7,3.9,0.2,18.1,8.6,15,"Spring"
8.7,5.6,3.3,5.3,4.2,2.4,1.3,1.4,5.1,3.5,15.5,12.1,7.8,8.8,8.3,5.8,2.6,5.1,9.1,7.2,958,860,954,973,902,903,902,917,910,982,1019.9,1018.7,1017.7,1023.4,1016.9,859.8,982.6,842.6,832.5,970.2,950.7,987.7,961.5,930.1,837.2,0,0,0,0,0,0,0,0,0,0,60,60,60,60,60,60,59,60,60,60,9.1,15.9,8.9,7.9,13.7,13.7,14.6,18.3,12.6,9.5,38.6,33.7,23.2,52.5,45.6,42.1,56.9,26.9,37.7,37.6,13.6,11.9,6.9,18,19.1,10,"Spring"
3.7,1.6,3.4,3.6,3.6,2.5,1.7,2.3,3,4.2,6.1,5.1,6.1,6.5,6.6,6.6,5.5,4.3,5.4,6.8,975,921,972,1000,953,927,905,959,941,1008,1018.2,1017.8,1016.8,1020.1,1015.4,863,982.6,847.1,840.2,971.6,952.9,986,962.4,932.5,842.1,0,0,0,0,0,0,0,0,0,0,60,60,60,60,60,60,60,60,60,60,22.3,28.8,21.5,20.4,28,27.2,26.4,30.4,24,22.9,36.6,41.2,24.2,71.6,38.2,40.4,56.4,31.1,47.9,35.5,26.9,25.1,17.1,29.2,30.2,11,"Summer"
0.9,4.4,5.6,4.4,6.3,2.7,1.7,4.7,1.5,3.2,1.8,9.6,7.7,6.5,10.3,5.5,3.8,7.7,3.5,5.1,85,192,137,223,61,34,133,40,159,33,1034.2,1032,1032.8,1031.9,1030.7,860.4,993.8,842.5,833.4,979.9,960.1,994,970.3,937.7,836.7,0,0,0,0,0,0,0,0,0,0,0,60,41,60,0,0,39,0,60,0,-10.1,-2.3,-10.2,-7.5,-3.1,-4.3,0.4,-2.3,-6.7,-7.3,99,44.2,78.7,43.3,68.3,78.2,49.4,74.8,63.6,95.3,-6.2,-5.6,-9.4,-1.4,3.6,16,"Winter"
0.7,0.6,0.2,9.8,0.5,0.7,0.5,1,0.5,0.9,1.5,2.2,0.6,11.7,1.3,1.4,1.6,2.3,1.2,1.5,19,54,20,40,33,41,17,36,74,11,1024.5,1023.4,1024.3,1022.3,1023.6,867.2,987.1,850.8,842.5,975.2,957.4,987.9,967.6,935.8,846.2,0,0,0,0,0,0,0,0,0,0,0,31,0,28,25,32,0,32,52,0,7,16,9.6,15.6,15.9,16.8,24.1,17.4,17,13.2,93.5,72.9,69.3,54,67.9,74.6,71,73.7,57.8,54.1,13.4,13.6,31.5,14.1,20.6,5,"Summer"
2.2,1.2,7.4,6.7,7.2,1.3,0.8,8.9,2.5,1.2,4.1,3.2,9.6,10.8,11.9,4,2.2,13.7,5.4,4.9,36,20,25,171,99,11,90,109,11,42,1012.4,1009.1,1010.1,1006,1005.4,850.4,974.7,833.5,824.8,960.9,942.8,971.6,949.9,922.2,827.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,22,0,0,5.1,11.3,5.7,5.2,12.6,11,19.8,14.7,7.6,11.9,96.6,80.7,95.4,99.3,74.1,83.5,72,68.4,93.2,53.2,9.3,10.1,8.5,11.5,16.2,18,"Spring"
4.9,1.5,0.2,5.9,0.7,1.2,0.7,0.7,0.5,1.5,10.2,3.2,1.8,7.4,3.1,2.5,1.9,1.6,1.4,2.5,0,0,0,0,0,4,0,0,0,3,1015,1014.1,1014,1014.9,1014,854.7,977.2,838.1,830.1,965.5,946.6,979.7,957.6,925.3,834.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7,10.4,6.4,6.6,12,11.3,15.9,12.5,6.4,6.6,66.3,74.5,73.8,62,87.6,88.3,78.7,77.2,97.1,74.3,10.8,10.2,8.9,7.2,6.1,18,"Autumn"
4.9,1.6,1,8.2,1.8,0.7,0.5,2.2,0.8,3.3,9.4,3.2,4.3,13.4,4.4,1.6,1.4,4.3,2.1,7.2,538,471,546,430,374,499,471,499,510,545,1020,1021.7,1021.2,1025.1,1022.1,862.9,982.5,845.5,835.9,973,953.3,989.1,965.7,930.5,841,0,0,0,0,0,0,0,0,0,0,60,60,60,60,31,60,60,60,60,60,9.3,14.3,8.6,7.1,13.6,11.3,12.6,14.5,13.2,8.8,50.2,59.9,45.4,50,57.2,63.1,71.7,41.8,58,34.6,12.7,11.1,10.5,11.7,9.1,8,"Spring"
2.6,3.8,0.3,11.5,1.8,0.6,0.2,1.4,2.3,1.4,8.4,7.4,0.9,14.9,5.3,1.8,0.8,2.8,5.5,2.4,49,49,61,91,57,56,61,46,51,65,1018.2,1021,1021.7,1025,1023.5,858.1,979.5,841.5,833.5,971.2,951.3,988,964.3,927.6,838,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,3,0,4,5,0.9,5.6,6.6,1.2,4.5,1.6,8,0.5,53.3,89.2,70.2,39.8,83.6,96.6,88.1,89.7,59,62.8,0.4,4.7,10.8,4.8,0.1,8,"Winter"
4.1,1.8,0.3,6.1,1.5,0.6,0.7,0.8,1.6,0.7,10,3.1,1.2,7.3,2.5,1.2,2.5,1.8,4.3,2,0,0,0,0,1,4,0,0,0,3,1018.8,1019.3,1019.9,1012.8,1019.8,854,980.3,836.8,829.7,969.4,950.1,976.5,960.9,926.5,832.1,0,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,-0.6,6.7,-2.1,-2.4,4.8,2.9,6.9,2,3.9,-1.6,88.3,82.7,96.1,99.4,79.3,93.7,94.6,88.7,77.8,97.4,3.1,3.3,7.2,5.2,1.1,22,"Winter"
0.7,1,1.1,6.9,0.6,0.4,0.3,0.4,0.6,1.1,1.9,2.3,1.8,7.6,1.4,1.5,1.1,1.4,1.1,1.5,0,0,0,0,0,4,0,0,0,3,1025.8,1027.4,1027.7,1028.5,1027.9,867,988,850.7,842.3,978,959.1,992.9,970.4,936.2,846.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,13.3,6.7,11.4,10.2,10.1,16.3,10.9,11.4,7.5,95.6,88.1,86.1,60.1,91.2,93.8,85,91.1,96.6,71.8,9.5,7.7,21.8,11,14.4,1,"Autumn"
4.9,1.6,5,6.9,4,2.1,0.9,7,1.5,2.2,11.4,3.6,9.5,10.5,6.8,4.7,3.7,11.9,3.3,5.7,72,191,61,89,155,74,27,156,39,25,1009.2,1008.4,1007.5,1004,1005.2,852.6,973,836.4,829.6,962.1,942.9,970,951.6,921.8,830.3,0,0,0.3,0,0,0,0,0,0,0,0,51,0,7,40,0,0,34,0,0,13.5,20.8,11.4,10.5,23.1,21.8,22.9,24.5,17.7,15.5,68.8,58.3,84.3,82,39.7,43.7,76.8,31.3,64,40.4,20.7,25.2,14.8,16.1,19.7,18,"Summer"
1,1,1.2,6.7,1.1,2.3,0.7,1.9,1.3,1,3.3,2.5,2.5,12.6,3.7,3.4,1.4,3.3,2.2,1.6,658,495,658,686,605,615,577,611,601,659,1029.9,1030.5,1030.3,1032.8,1030.6,870.1,992.2,852.4,844,981.6,962,996.4,974.1,939.5,848.3,0,0,0,0,0,0,0,0,0,0,60,60,60,60,60,60,60,60,60,60,6.4,16.2,9.7,10.8,13.7,12.5,11.9,16.4,12.3,9.8,44.6,46.5,26.5,22.8,52.5,43.6,51.4,24.5,55.9,26,14,13.8,4.9,13.4,5,12,"Winter"
0.5,0.8,1.2,3.6,1,0.6,0.6,1,0.8,0.7,1.4,1.9,2.3,7.1,1.8,1.2,2.1,2.6,1.8,2.1,184,38,194,72,44,60,80,85,108,99,1021.4,1020.9,1021.5,1019.5,1020.8,861.6,984.1,845,837.7,972.8,954.1,984.3,964.7,931.9,840.4,0,0.2,0,0,0,0.1,0,0.3,0,0,0,0,12,0,0,0,0,0,0,0,9.8,16.2,9.7,8.1,16.1,13.8,17.3,15.7,13.2,8.6,88.2,95.9,85.6,100,87.3,100,95.3,90.8,97,89.8,15.4,15.3,16.6,15.3,14.4,6,"Summer"
0.7,0.9,0.9,8.3,0.6,1.1,1.2,2.4,1.7,1.1,2.4,2,1.9,11.7,1.4,2,2.4,3.9,3.4,2,0,0,0,0,0,4,0,0,0,3,1032.5,1034.4,1034.3,1032.6,1035.3,866.2,993.2,848.9,840.8,982.7,962.6,995.1,975,938.8,844.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.9,4.8,-6.6,-1.5,-0.8,-0.7,3.4,-0.5,2,-4.6,78.8,85.8,65.9,95.6,90,78,77.8,74,74.9,58.6,-1.2,-2.1,-2.1,5.8,10.7,19,"Winter"
6.9,1.9,3.5,4,2,3.2,2.8,1.7,1.7,4,9.1,4.2,7.3,6.6,4.4,7,5.4,4.4,3.6,5.8,763,656,749,779,689,678,690,729,680,768,1022.5,1022.4,1021.6,1024,1021,862.7,985.5,845.5,838.4,974.5,955,988.6,965.6,933.3,840.8,0,0,0,0,0,0,0,0,0,0,60,60,60,60,60,60,60,60,60,60,9,18.1,12.1,9.1,17.9,17.1,17.4,19.5,14.2,11.1,45.3,47.8,28,68.2,49.9,49.5,46.5,30.8,57.1,31.7,16.9,16.2,6.7,16.5,13.1,13,"Spring"
2.6,1.9,1.4,5.9,2.1,0.8,1.1,1.3,0.9,1.1,5.4,2.9,3.8,7.8,3,2.5,2.2,2.6,1.6,1.6,0,0,0,0,0,0,0,0,0,1,1016.8,1017.7,1017.1,1013.6,1018.3,849.6,977.5,833,824.7,967.1,946.8,976.6,959.2,923.1,828.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,0.4,-10.8,-8.2,0.9,0.2,1.9,0.5,-2.2,-11,73.2,NA,75.8,93.6,76,74.3,59.2,57.1,85,66,-0.2,-0.8,1.3,0.6,-5.7,2,"Winter"
6,0.7,8.5,16.2,4.9,3.3,3.4,8,1.4,5.7,10.1,1.4,13.8,20.8,8.3,8.1,11.6,12.4,2.7,10.1,60,35,43,240,99,16,293,70,33,82,1020.3,1021.9,1019.4,1009.2,1018.3,850.9,980.9,833.9,830.1,971.9,949.6,973.2,960.4,926.4,829.7,2.4,2.3,0.8,0.3,0.1,4.3,0,0,2.3,0,0,0,0,0,1,0,60,0,0,0,-0.2,0.2,-3.1,-2.6,5.3,3.2,8.2,6.1,-1.1,2.7,90.2,97.9,88.1,99.9,84.6,96.7,66.7,74.2,99.4,56.5,4.3,2,3.3,-0.2,-4.6,10,"Winter"
4.1,2.2,4.8,9.5,3.8,2.2,0.6,0.5,2.7,1,9,5.8,6.6,13.7,6.8,5.3,1.8,1.2,5.9,2.9,0,0,0,0,0,2,0,0,0,2,1000.7,1002.6,1002,998.3,1002,838.4,963,821.3,815,953.6,933.4,962.4,944.7,910.1,817.5,0.3,0,0.7,0.9,0,1.1,1.2,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,-0.6,7,-1.5,-3.4,5.7,3.5,5.5,4.3,3.8,-2.6,89.2,79.4,91.7,99.7,83.8,97,97.9,91.5,89.1,96.4,4.8,5.1,4.7,-0.1,5.5,5,"Autumn"
0.7,2.1,2.4,8.8,2.3,1.2,1.5,1,1.7,3.2,1.6,4.9,3.8,11.3,5.6,3.5,3.8,2.9,2.9,5.3,728,638,671,731,661,652,481,682,652,719,1025.8,1024.5,1023.6,1026.6,1023.4,862.3,987.7,844.7,837,975.4,955.8,990.1,966.5,934.1,839.5,0,0,0,0,0,0,0,0,0,0,60,60,60,60,60,60,51,60,60,60,3.5,11.2,7.5,6.8,11.1,12.2,9.4,12.5,8.6,8.1,48.1,55.7,25.6,23.6,46,41.9,54.2,36.1,60.6,32.9,12.3,9.7,2.4,12.9,10.6,11,"Spring"
4.7,4.5,2.7,6.9,2,2.9,6.6,1.4,4.9,3.6,8.6,8.3,5.2,9.8,4.2,5.2,16.3,3.1,10.7,8.5,264,65,163,83,103,150,335,154,114,233,1032.8,1036.5,1035.1,1025.3,1036,864.2,993.5,846.6,841,985.2,963.8,989,976.4,937.9,843.1,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,12,60,0,0,16,-3.7,4.8,-5.2,-5.9,3.3,1.3,10.6,3.2,-0.1,-4.7,69,69.4,72.4,98.2,83.1,100,19.5,75.2,79.2,72.9,2.3,3.6,3.7,5.3,1.3,9,"Winter"
5.4,2.8,4.3,10.8,6.5,3.4,1.5,6.9,1.7,6,10.1,6.6,9.3,17.8,10.6,6.8,4.2,9.9,3.4,10.7,200,591,635,679,615,587,373,631,560,496,1008.1,1007.5,1006.3,1010,1005.3,853.1,972.1,836.4,829.3,961.4,942.2,975.9,951.8,920.9,831.6,0,0,0,0,0,0,0,0,0,0,12,60,56,60,60,59,18,57,60,49,15.3,22.4,17.5,13.5,24.8,23.2,23.4,24.8,19.2,17.6,51.4,47.4,35.2,57.1,40.5,52.1,54.5,40.4,60.6,37.7,23.2,19.6,10.6,13.8,9,15,"Spring"
2.2,1.3,1.9,2.8,3.1,5,2.3,1.7,2.6,3.9,4.1,3.4,5.6,7,5.9,9.4,5.3,3.3,5.6,7,871,785,846,818,795,795,794,835,781,857,1031.6,1031.2,1030.3,1028.1,1028.7,870.8,994.5,854,846.8,983,963.4,993.3,973.3,942.2,849,0,0,0,0,0,0,0,0,0,0,60,60,60,60,60,60,60,60,60,60,16.1,20.4,15.9,14.7,18.7,18.3,22.9,21.5,15.3,16.8,37.1,41.7,35,58.6,53,47.5,43.8,39.7,61.6,26.9,19.2,15,8.2,22.4,25,13,"Spring"
0.8,0.8,1.6,6.7,0.6,0.8,1.2,0.8,3.8,0.3,2,2.1,2.8,7.6,1.8,2.6,2.4,1.5,7.2,1.8,0,0,0,0,1,2,0,0,0,2,1019.2,1019.7,1020.4,1018.4,1020.6,861.6,982.1,844.9,837.4,971.6,953.4,983.4,964.5,931.1,841,0.1,0,0,0,0,0,0,0,1.2,0.4,0,0,0,0,0,0,0,0,0,0,10.7,17.4,9.9,9.3,15.7,15.1,18.8,15.9,13.9,11,95.5,92.4,91.9,100,90.3,96.2,70.4,94.3,89.1,87.8,15.5,16.6,19.7,16.8,14.7,22,"Autumn"
2.3,6.8,2.9,17.4,5.8,4.2,0.5,2,8.2,0.8,5.9,17.9,8.5,26.5,14,11.7,1.4,6.4,19.3,3.5,0,0,0,0,0,4,0,0,0,3,1004.8,1008.9,1004.1,1007.7,1006.8,840.5,966.4,821.8,818.1,959.3,936.3,970.7,948.7,910.8,818.9,0.4,0.6,0,1.6,0,0,0.3,0,0.1,1.6,0,0,0,0,0,0,0,0,0,0,-2,3.2,-0.6,-5.1,5.5,6.5,0,2.1,3,-1.9,91.6,84.4,76.8,99.9,62.9,57.2,95.6,89.4,73,95.9,2.5,3.4,-1.4,-0.3,-3,2,"Winter"
0.5,1.9,1.5,7.8,0.8,0.8,1.1,1.1,2.1,0.8,1.1,5.3,3.3,9.9,1.4,1.8,2.2,1.9,5.5,1.6,0,0,0,0,0,2,0,0,0,2,1013.4,1014,1014.5,1009.4,1014.2,855.1,976.3,838.6,831.1,965.8,947.2,974.7,958.2,925.2,834.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,15,8.1,6,13.3,11.9,19,14.3,13.7,8.1,95.7,81.9,94.9,100,96.2,100,93.7,91.9,80.7,99.6,13.5,14.7,20.4,10.5,11.8,4,"Summer"
0.5,1.2,0.6,10.2,0.5,0.9,1.7,0.7,0.7,0.9,1,2.3,1.4,14.8,1.5,2.4,3.3,1.8,2.4,1.4,0,0,0,0,0,4,0,0,0,3,1027.8,1026.4,1027.7,1023.1,1026.7,864.6,989.3,847.6,838.9,976.7,958.6,987.2,968.7,936.4,842.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,8.9,1.8,2.9,8.9,7.7,12.7,8.4,9.2,1.9,89.7,84.2,87.4,87.6,77.3,88.6,54.9,70.3,84.5,61.7,6.3,7.4,11.5,9.7,5.8,21,"Autumn"
